a,d,sign,m,deg_P,n_factors,M_P,deg_smallest_factor,M_smallest_factor,in_db
2,3,-1,5,6,1,1.556030191322682260530429,6,1.556030191322682260530429,False
2,3,-1,7,8,1,1.000000000000000000000000,0,100.0000000000000000000000,False
2,3,-1,9,10,1,1.350980337716237310211404,10,1.350980337716237310211404,False
2,3,-1,11,12,1,1.251046617203771192186575,12,1.251046617203771192186575,True
2,3,-1,13,14,1,1.267296442523068692734077,14,1.267296442523068692734077,True
2,3,-1,15,16,1,1.311999492753850653485767,16,1.311999492753850653485767,False
2,3,-1,17,18,1,1.219720859040311844169607,18,1.219720859040311844169607,True
2,3,-1,19,20,1,1.302511106921164486154982,20,1.302511106921164486154982,False
2,3,-1,21,22,2,1.188368147508223588142961,18,1.188368147508223588142961,True
2,3,-1,23,24,1,1.282228408313807425293329,24,1.282228408313807425293329,True
2,3,-1,25,26,1,1.249499333192876536785435,26,1.249499333192876536785435,True
2,3,-1,27,28,2,1.261622390371859259581605,24,1.261622390371859259581605,True
2,3,-1,29,30,1,1.276496975883990664153119,30,1.276496975883990664153119,True
2,3,-1,31,32,1,1.242940115198647206232688,32,1.242940115198647206232688,True
2,3,-1,33,34,1,1.277067971251780526368638,34,1.277067971251780526368638,True
2,3,-1,35,36,1,1.226493301473076081823027,36,1.226493301473076081823027,True
2,3,-1,37,38,1,1.270112038411858091878413,38,1.270112038411858091878413,True
2,3,-1,39,40,1,1.244414501982642209182588,40,1.244414501982642209182588,True
2,3,-1,41,42,1,1.260616712977608824390595,42,1.260616712977608824390595,True
2,3,-1,43,44,1,1.265808404363247916130606,44,1.265808404363247916130606,True
2,3,-1,45,46,2,1.250446676243941030502960,42,1.250446676243941030502960,True
2,3,-1,47,48,1,1.268359961801416135588506,48,1.268359961801416135588506,True
2,3,-1,49,50,1,1.240379074716765889270904,50,1.240379074716765889270904,True
2,3,-1,51,52,2,1.265389131918736080502433,48,1.265389131918736080502433,True
2,3,-1,53,54,2,1.230743009075744261382943,46,1.230743009075744261382943,True
2,3,-1,55,56,1,1.260066595749936406973886,56,1.260066595749936406973886,True
2,3,-1,57,58,1,1.260722599587834949525074,58,1.260722599587834949525074,True
2,3,-1,59,60,1,1.253698073656252696407901,60,1.253698073656252696407901,True
2,3,-1,61,62,1,1.264062691440685595100295,62,1.264062691440685595100295,True
2,3,-1,63,64,1,1.246918808402582358656235,64,1.246918808402582358656235,True
2,3,-1,65,66,1,1.262871844423679634887356,66,1.262871844423679634887356,True
2,3,-1,67,68,2,1.240061859036790310950764,60,1.240061859036790310950764,True
2,3,-1,69,70,2,1.259625716167166333349328,66,1.259625716167166333349328,True
2,3,-1,71,72,1,1.257593058779957955908250,72,1.257593058779957955908250,True
2,3,-1,73,74,1,1.255325148651173832079515,74,1.255325148651173832079515,True
2,3,-1,75,76,2,1.261480784169539043196222,72,1.261480784169539043196222,True
2,3,-1,77,78,1,1.250478145893756721712893,78,1.250478145893756721712893,True
2,3,-1,79,80,1,1.261275571184919726496994,80,1.261275571184919726496994,True
2,3,-1,81,82,1,1.245370836990939395890282,82,1.245370836990939395890282,True
2,3,-1,83,84,1,1.259236917247409559976022,84,1.259236917247409559976022,True
2,3,-1,85,86,1,1.255204918382940984146912,86,1.255204918382940984146912,True
2,3,-1,87,88,1,1.256203483453832667010124,88,1.256203483453832667010124,True
2,3,-1,89,90,1,1.259711783636736701247675,90,1.259711783636736701247675,True
2,3,-1,91,92,1,1.252598560919664419846577,92,1.252598560919664419846577,True
2,3,-1,93,94,2,1.260143174746920073388688,90,1.260143174746920073388688,True
2,3,-1,95,96,1,1.248666353410437637933337,96,1.248666353410437637933337,True
2,3,-1,97,98,1,1.258883388674669163895966,98,1.258883388674669163895966,True
2,3,-1,99,100,2,1.252825476861465199360931,96,1.252825476861465199360931,True
2,3,-1,101,102,1,1.256692110735969318466087,102,1.256692110735969318466087,True
2,3,-1,103,104,1,1.258369888734347851092593,104,1.258369888734347851092593,True
2,3,-1,105,106,1,1.253939145804391887590073,106,1.253939145804391887590073,True
2,3,-1,107,108,1,1.259272912189447542892744,108,1.259272912189447542892744,True
2,3,-1,109,110,1,1.250837551227498916659513,110,1.250837551227498916659513,True
2,3,-1,111,112,1,1.258556573083610559334717,112,1.258556573083610559334717,True
2,3,-1,113,114,2,1.247521509928087367406126,106,1.247521509928087367406126,True
2,3,-1,115,116,1,1.256959835882995181152433,116,1.256959835882995181152433,True
2,3,-1,117,118,2,1.257255539787969353869605,114,1.257255539787969353869605,True
2,3,-1,119,120,1,1.254820791480432504400769,120,1.254820791480432504400769,True
2,3,-1,121,122,1,1.258561379713871242953636,122,1.258561379713871242953636,True
2,3,-1,123,124,2,1.252330630236869756274031,120,1.252330630236869756274031,True
2,3,-1,125,126,1,1.258250400644550366905570,126,1.258250400644550366905570,True
2,3,-1,127,128,2,1.249609817678345145929144,120,1.249609817678345145929144,True
2,3,-1,129,130,1,1.257094077809443195093389,130,1.257094077809443195093389,True
2,3,-1,131,132,1,1.256239218538453465111494,132,1.256239218538453465111494,True
2,3,-1,133,134,1,1.255415115048992134600680,134,1.255415115048992134600680,True
2,3,-1,135,136,1,1.257948770315705101706701,136,1.257948770315705101706701,True
2,3,-1,137,138,1,1.253390109568902600861125,138,1.253390109568902600861125,True
2,3,-1,139,140,1,1.257959892968835688248841,140,1.257959892968835688248841,True
2,3,-1,141,142,2,1.251129175088485087384468,138,1.251129175088485087384468,True
2,3,-1,143,144,1,1.257143441657626588199364,144,1.257143441657626588199364,True
2,3,-1,145,146,1,1.255195961686401082859088,146,1.255195961686401082859088,True
2,3,-1,147,148,2,1.255820650016365956610084,144,1.255820650016365956610084,True
2,3,-1,149,150,1,1.257396114734049872696479,150,1.257396114734049872696479,True
2,3,-1,151,152,1,1.254159337809046133372315,152,1.254159337809046133372315,True
2,3,-1,153,154,1,1.257680647765258250431383,154,1.257680647765258250431383,True
2,3,-1,155,156,1,1.252262135424536496572852,156,1.252262135424536496572852,True
2,3,-1,157,158,1,1.257136418688199310869992,158,1.257136418688199310869992,True
2,3,-1,159,160,1,1.253877606816004394318266,160,1.253877606816004394318266,True
2,3,-1,161,162,1,1.256097183807652435537964,162,1.256097183807652435537964,True
2,3,-1,163,164,1,1.256873979127180099489685,164,1.256873979127180099489685,True
2,3,-1,165,166,2,1.254726949273296844068500,162,1.254726949273296844068500,True
2,3,-1,167,168,1,1.257408516911652331535022,168,1.257408516911652331535022,True
2,3,-1,169,170,1,1.253123281021371360753448,170,1.253123281021371360753448,True
2,3,-1,171,172,2,1.257090356809553093556425,168,1.257090356809553093556425,True
2,3,-1,173,174,2,1.251350589196084083680532,166,1.251350589196084083680532,True
2,3,-1,175,176,1,1.256282621027048460884022,176,1.256282621027048460884022,True
2,3,-1,177,178,1,1.256354923559132766493103,178,1.256354923559132766493103,True
2,3,-1,179,180,1,1.255150155521892973617426,180,1.255150155521892973617426,True
2,3,-1,181,182,1,1.257139300181158707492021,182,1.257139300181158707492021,True
2,3,-1,183,184,1,1.253787565314643169258437,184,1.253787565314643169258437,True
2,3,-1,185,186,1,1.257016067159185091456562,186,1.257016067159185091456562,True
2,3,-1,187,188,2,1.252256210760495314768437,180,1.252256210760495314768437,True
2,3,-1,189,190,2,1.256401850842783556849640,186,1.256401850842783556849640,True
2,3,-1,191,192,1,1.255804641882730643163631,192,1.255804641882730643163631,True
2,3,-1,193,194,1,1.255467211996323841450232,194,1.255467211996323841450232,True
2,3,-1,195,196,2,1.256868362824633304053276,192,1.256868362824633304053276,True
2,3,-1,197,198,1,1.254305726814430736790609,198,1.254305726814430736790609,True
2,3,-1,199,200,1,1.256920313728661383911137,200,1.256920313728661383911137,True
2,3,-1,201,202,1,1.252976706274312775086522,202,1.252976706274312775086522,True
2,3,1,5,6,1,1.000000000000000000000000,0,100.0000000000000000000000,False
2,3,1,7,8,1,1.425005267838192556664668,8,1.425005267838192556664668,False
2,3,1,9,10,2,1.000000000000000000000000,0,100.0000000000000000000000,False
2,3,1,11,12,1,1.302268805094334462964241,12,1.302268805094334462964241,False
2,3,1,13,14,1,1.300193143396797291298041,14,1.300193143396797291298041,False
2,3,1,15,16,2,1.240726423652541392056148,12,1.240726423652541392056148,True
2,3,1,17,18,1,1.310062127989730771634172,18,1.310062127989730771634172,False
2,3,1,19,20,2,1.202616743688604261118295,14,1.202616743688604261118295,True
2,3,1,21,22,1,1.292723128748288216419478,22,1.292723128748288216419478,True
2,3,1,23,24,3,1.176280818259917506544070,10,1.176280818259917506544070,True
2,3,1,25,26,1,1.271748284800658028494587,26,1.271748284800658028494587,True
2,3,1,27,28,1,1.269117837458361650783635,28,1.269117837458361650783635,True
2,3,1,29,30,1,1.252001448744786419364362,30,1.252001448744786419364362,True
2,3,1,31,32,1,1.278292317563932265107528,32,1.278292317563932265107528,True
2,3,1,33,34,3,1.234443834872885199911383,24,1.234443834872885199911383,True
2,3,1,35,36,1,1.274102213281553620460652,36,1.274102213281553620460652,True
2,3,1,37,38,3,1.219057507826488532664529,24,1.219057507826488532664529,True
2,3,1,39,40,2,1.265527334805332213427162,36,1.265527334805332213427162,True
2,3,1,41,42,1,1.259725739225878331767945,42,1.259725739225878331767945,True
2,3,1,43,44,1,1.255552437922796866103416,44,1.255552437922796866103416,True
2,3,1,45,46,1,1.268128795509966050107221,46,1.268128795509966050107221,True
