line_no,N,M_stored,M_pari,K_stored,K_pari,U_stored,U_pari,Q_stored,Q_pari,R_stored,R_pari,irreducible,max_off_circle,ok_irr,ok_M,ok_KUQR
3,8,1.280638156267757596701902532710676301595313317819353584076277261716335556,1.28063815626775759670190253271067630159531331781935358407628,1,1,6,6,0,0,2,2,1,0.280638156267757596701902532710676301595313317819353584076277,1,1,1
6,10,1.176280818259917506544070338474035050693415806564695259830106347029688377,1.17628081825991750654407033847403505069341580656469525983011,1,1,8,8,0,0,2,2,1,0.176280818259917506544070338474035050693415806564695259830106,1,1,1
7,10,1.216391661138265091626806311199463327722253606570570757560427065838312129,1.21639166113826509162680631119946332772225360657057075756043,1,1,8,8,0,0,2,2,1,0.216391661138265091626806311199463327722253606570570757560427,1,1,1
8,10,1.230391434407224702790177938975279017566574489661756241401914236172813448,1.23039143440722470279017793897527901756657448966175624140191,1,1,8,8,0,0,2,2,1,0.230391434407224702790177938975279017566574489661756241401914,1,1,1
9,10,1.261230961137138851946671503074483335906561512823932899174657356830904239,1.26123096113713885194667150307448333590656151282393289917466,1,1,8,8,0,0,2,2,1,0.261230961137138851946671503074483335906561512823932899174657,1,1,1
10,10,1.267233859440220785504563864128285714521636796765590642379036615118250506,1.26723385944022078550456386412828571452163679676559064237904,2,2,6,6,4,4,0,0,1,0.125714821542392585328844199124468211546602791616616847617763,1,1,1
11,10,1.283582360621388675671153217963554649436417524793579457949578860708907436,1.28358236062138867567115321796355464943641752479357945794958,2,2,6,6,4,4,0,0,1,0.132952938396555232514828945846585818664584340331700661495246,1,1,1
12,10,1.293485953125454106519909883794095300396496621900788800582481240648323409,1.29348595312545410651990988379409530039649662190078880058248,1,1,8,8,0,0,2,2,1,0.293485953125454106519909883794095300396496621900788800582481,1,1,1
15,12,1.227785558694598649696002503900735591050581886525473829236975857370257329,1.22778555869459864969600250390073559105058188652547382923698,2,2,8,8,4,4,0,0,1,0.108054853648770697760347738681979815623030979208798686233836,1,1,1
16,12,1.240726423652541392056148161575665656805788554669818945154505874492081495,1.24072642365254139205614816157566565680578855466981894515451,1,1,10,10,0,0,2,2,1,0.240726423652541392056148161575665656805788554669818945154506,1,1,1
17,12,1.251046617203771192186575282199661186473658755508641664492671511488194621,1.25104661720377119218657528219966118647365875550864166449267,2,2,8,8,4,4,0,0,1,0.118501952257469773338529049798505699053086195151474209399435,1,1,1
18,12,1.264393854743248259471716800788453702109345455879629468289129150286413349,1.26439385474324825947171680078845370210934545587962946828913,2,2,8,8,4,4,0,0,1,0.124452691198366183834570794717126505782985913599568535813272,1,1,1
19,12,1.272818365083495504088172723087991785751993428926710330386975065385057793,1.27281836508349550408817272308799178575199342892671033038698,2,2,8,8,4,4,0,0,1,0.128192521285040031304606079569047671400451047407431168935405,1,1,1
22,14,1.200026523987391518902962100414601567240618151999851067924399839886073113,1.20002652398739151890296210041460156724061815199985106792440,1,1,12,12,0,0,2,2,1,0.200026523987391518902962100414601567240618151999851067924400,1,1,1
23,14,1.202616743688604261118295415948619045343949834969523043685309576726454066,1.20261674368860426111829541594861904534394983496952304368531,1,1,12,12,0,0,2,2,1,0.202616743688604261118295415948619045343949834969523043685310,1,1,1
24,14,1.255093516763722879173091003232857070130650899913269851336588823459118544,1.25509351676372287917309100323285707013065089991326985133659,1,1,12,12,0,0,2,2,1,0.255093516763722879173091003232857070130650899913269851336589,1,1,1
25,14,1.265122072379696951286941223340002863641906085392523679751135339673561664,1.26512207237969695128694122334000286364190608539252367975114,2,2,10,10,4,4,0,0,1,0.124776454403139144627053178608489418073868803764449336516733,1,1,1
26,14,1.267296442523068692734077407604822492629074176701971734433405054449451753,1.26729644252306869273407740760482249262907417670197173443341,1,1,12,12,0,0,2,2,1,0.267296442523068692734077407604822492629074176701971734433405,1,1,1
27,14,1.278043016131400898643922202484243032800430247849905334757495596749261183,1.27804301613140089864392220248424303280043024784990533475750,2,2,10,10,4,4,0,0,1,0.130505646218275593909009972157145689099505032201136994593967,1,1,1
28,14,1.280123027338378923218631622558193088582398070949494176711742703063656980,1.28012302733837892321863162255819308858239807094949417671174,2,2,10,10,4,4,0,0,1,0.131425219507846626830722705578498231067374876941276885579783,1,1,1
29,14,1.290178036768943174529119580019623359511226583589982082612300378501040110,1.29017803676894317452911958001962335951122658358998208261230,2,2,10,10,4,4,0,0,1,0.135860042773291314499440822366454133825315793268692824722407,1,1,1
30,14,1.291562760023888128999244140534613709290023485667314713289421302604926823,1.29156276002388812899924414053461370929002348566731471328942,3,3,8,8,4,4,2,2,1,0.105400852650788651874645157653870840113749952280903449081485,1,1,1
31,14,1.293072888327706371821157382818264750198295005959998108213740955047079129,1.29307288832770637182115738281826475019829500595999810821374,3,3,8,8,4,4,2,2,1,0.161704435462295486315951813869946401979205596446919557093984,1,1,1
32,14,1.297398316823221742981634424392647120638178087078510281124586220234003599,1.29739831682322174298163442439264712063817808707851028112459,2,2,10,10,4,4,0,0,1,0.139033940154208812670610177993189464776433041732836273375361,1,1,1
35,16,1.224278907222198177316378034476089998924387830697397700720655366059020780,1.22427890722219817731637803447608999892438783069739770072066,2,2,12,12,4,4,0,0,1,0.106471376594170273846894219228675613893472258365676700280463,1,1,1
36,16,1.235256705641671749004593066844476207911666506844022646414655831973538031,1.23525670564167174900459306684447620791166650684402264641466,2,2,12,12,4,4,0,0,1,0.111421029871970592903124002324707948810577890624963584158735,1,1,1
37,16,1.236317931803230489899094869802054553944819208367869563794753784111837000,1.23631793180323048989909486980205455394481920836786956379475,1,1,14,14,0,0,2,2,1,0.236317931803230489899094869802054553944819208367869563794754,1,1,1
38,16,1.243477618690046730138875327497308537362892939768199431056905091741107416,1.24347761869004673013887532749730853736289293976819943105691,2,2,12,12,4,4,0,0,1,0.115113276169756096648811754953883187299698379059471671471530,1,1,1
39,16,1.248013608326834290556684667372346033617163314168157594535853685617086024,1.24801360832683429055668466737234603361716331416815759453585,2,2,12,12,4,4,0,0,1,0.117145294188197478331438227641154916952817386469072935581092,1,1,1
40,16,1.251732411297064978375519654086445390519005585152425445207465047500655435,1.25173241129706497837551965408644539051900558515242544520747,2,2,12,12,4,4,0,0,1,0.118808478380935839775790267143809950782403836969169808083975,1,1,1
