N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
6,1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2.554340e-01,,0,6,0,0
8,1.52306024894706327483699492936251165273327270676537655980073124588861383717014545443792154812614111767593029697641688089,2.676262e-01,5.230602e-01,1,6,0,2
10,1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2.554340e-01,5.230602e-01,0,10,0,0
12,1.59341317380733696304779432956124806988167875895751169347059447358515524437355721022097026229559243202765389802732251961,3.379791e-01,5.934132e-01,3,6,4,2
14,1.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2.554340e-01,5.934132e-01,0,14,0,0
16,1.25509351676372287917309100323285707013065089991326985133658882345911854442834095158167125010777540083513568168551710275,3.405210e-04,2.550935e-01,1,14,0,2
18,1.39872154287974680550588982209454432996585114946960173760210178415087196111727068699762824268165645429314477481102867779,1.432875e-01,1.436280e-01,4,10,8,0
20,1.32877654772419183717430135920312450707055568327578455322388450888978920332212448966493899239935440845283575095059141624,7.334251e-02,6.994500e-02,3,14,4,2
22,1.30535777682366750414075547219671694736186053454745655084155418520541996347377142286989140286026828536326055863089046609,4.992374e-02,2.341877e-02,4,14,8,0
24,1.28008203722036170626536557221220351366013076520860072950610489132076710233409916254797411937051818331772405559192860062,2.464800e-02,2.527574e-02,3,18,4,2
26,1.36044081456314880505619162429564534065731912009425970187211213227636092512128455084504753948077115214811041710277745442,1.050068e-01,8.035878e-02,4,18,8,0
28,1.23450033678924413345371113322399932341405138484477922641399144584722444065051468109569776195159750575949866106790695533,2.093370e-02,1.259405e-01,3,22,4,2
30,1.36349941020760763445287747896096753570541984360764795984535840442435849634422909866880218950379574440912936069883283477,1.080654e-01,1.289991e-01,6,18,12,0
32,1.21944687594093033894448095024738193297504531338037932275062392469412669583972625173078738240671588159934274425030506391,3.598716e-02,1.440525e-01,3,26,4,2
34,1.30237861880316456111731069567248598330884385168159389717752114201980823050167814615265701524649193902422632915093532575,4.694458e-02,8.293174e-02,4,26,8,0
36,1.33584850220727060550445869122605621520854370791028642424861842410023843234570832480103905237908966701150793270960210230,8.041446e-02,3.346988e-02,7,22,12,2
38,1.31828663952100960830480186676189355779202002372842541020813257257966540966746901265794157577042472738764826489276813961,6.285260e-02,1.756186e-02,6,26,12,0
40,1.29586696394384291299378324039616469331515983137694977890897284481833285900366357109339231354360232910520445968461039447,4.043293e-02,2.241968e-02,5,30,8,2
42,1.30592254008946148582253835273798196082478385134421840893926741051710481988060942374259376320044582031822204937567946856,5.048850e-02,1.005558e-02,6,30,12,0
44,1.33595120558055361577481000346144548506368342751219961070730280365052001880946845810702231869761177914852669135589347020,8.051717e-02,3.002867e-02,7,30,12,2
46,1.27746583896264198187319744708106961753414189272422968804427668597240470719316151672357811516673497072992087981177728824,2.203180e-02,5.848537e-02,6,34,12,0
48,1.32081485789526762539899842499067829496986542720433835026548864067362453532715636896652539552385996600753511420518424791,6.538082e-02,4.334902e-02,7,34,12,2
50,1.27209545898788883666842698425991717555610511117363278562054823282460624231828782707809595556462748760580888039364759667,1.666142e-02,4.871940e-02,6,38,12,0
52,1.31068541469734016134509451831815529225379442610171622141248373729229263525603846694496345072148202260782009344321697460,5.525138e-02,3.858996e-02,7,38,12,2
54,1.31527895975837298935310897045243430474527333142809277914722739452524876197753940514984404993239819315843101449746278176,5.984492e-02,4.593545e-03,10,34,20,0
56,1.31224928050441428055573073503554143212704971651123757726541272316067898251640645906435076749354461074255148924217033472,5.681524e-02,3.029679e-03,9,38,16,2
58,1.30250053205727983219962065149831633204235045281390641365525011537812945678065140448012333750832283542803585520786053969,4.706649e-02,9.748748e-03,8,42,16,0
60,1.31306070086509458047999751154296875465462030162244893071922303659783676943146995020283942668431116737823953860418503169,5.762666e-02,1.056017e-02,9,42,16,2
62,1.32566780478442474944009788748961489559292006985980717676417057515953239018221918614635949349146310314980963049074469946,7.023377e-02,1.260710e-02,10,42,20,0
64,1.29138268488664901127856239249585015263866275351260865619861297982201213685524366301513374843700545349744606506332531154,3.594865e-02,3.428512e-02,9,46,16,2
66,1.32010674376548060121911458245049930853169877098106658774182056000093690988545379221177537829964576516203833861313756173,6.467271e-02,2.872406e-02,10,46,20,0
68,1.29194070547566827610538038747156184685113655779921993676653982914902001356839170455453297257188643463151872292543706215,3.650667e-02,2.816604e-02,9,50,16,2
70,1.31268946087064702063041532996890540764384951640426950105439180827448288571783204652191098544523036947167165013459757386,5.725542e-02,2.074876e-02,10,50,20,0
72,1.29184315712790850000872533604499591689520475145374371889697686024849110845772509769529138255117450987322405982110558431,3.640912e-02,2.084630e-02,11,50,20,2
74,1.30806372977966564597225503388186277151088149850970411457616427830117200707684658787151933375376652193734838293046600539,5.262969e-02,1.622057e-02,10,54,20,0
76,1.30368952555057015165485050292977918581574714636239707102225608203963059316083784296581841903806060138566308448156229839,4.825549e-02,4.374204e-03,11,54,20,2
