N,M_PN,abs_diff_from_limit,gap_from_previous,K,U,Q,R
458,1.25471237414986882842447731663842666533859137888887845529380468220802618619286852744931339654612026528597444915646424468,7.216636e-04,,30,398,60,0
460,1.25573579205761690013201440057010189694142814616125728931751166466109119059236988856212759957274248903265238824687162378,3.017543e-04,1.023418e-03,31,398,60,2
462,1.25536439857842179236160625363912227889449422649929410219899111400862196678945325797031310967007814184785570588602588616,6.963915e-05,3.713935e-04,32,398,64,0
464,1.25550962063131632894829360386509363319570260387973914185719550327889744099430245204213098934827018392536708531420356510,7.558290e-05,1.452221e-04,31,402,60,2
466,1.25578678052327253188632406022882944008750418111292986988644113887065758074971062273908963450507559450667102677002122639,3.527428e-04,2.771599e-04,32,402,64,0
468,1.25520940328031453986763937283050849487930653498892898143384976750292281684581276813447127770588921500211774382512165459,2.246344e-04,5.773772e-04,31,406,60,2
470,1.25585483351610078129016656390419654603929753634620639426171236591403236683131344699393433730206157978641964780741069786,4.207958e-04,6.454302e-04,32,406,64,0
472,1.25485014438693778170463668940772553356437150940877482822857212904384327647119322241396706464344546277724206722002374998,5.838933e-04,1.004689e-03,31,410,60,2
474,1.25576405457090851862636863302080894015158691726331199803064653401178622821435800203727183061746415082537212595667589192,3.300168e-04,9.139102e-04,32,410,64,0
476,1.25507065454315425253691968750247684176313022287071745104760144242479583721480181439394432994106606467450930827955011817,3.633832e-04,6.934000e-04,33,410,64,2
478,1.25557061795694892289370221483076992202197175558969692254749063749999959830689032907770336937560317283757475041379852196,1.365802e-04,4.999634e-04,32,414,64,0
480,1.25571287600713301562967190701625776439771340253027621480464406349319959085563647680265322801872733309742806599106309119,2.788383e-04,1.422581e-04,33,414,64,2
482,1.25530146948710794724684120138619571841798665905602035799536573648328431297519847295748173575386415073549110093967827964,1.325682e-04,4.114065e-04,32,418,64,0
484,1.25583635614722299814044619651226933876707569746765741731425517906320454238552118728283232550942437809119151726488553154,4.023184e-04,5.348867e-04,33,418,64,2
486,1.25497259311566389846306838133258812741122413524316661664016547213960068265801434721192857754110740591175969414403904955,4.614446e-04,8.637630e-04,32,422,64,0
488,1.25578273090815186137759800796963095440086718487502061861604277864490725190496716187075008308413509303765883691604702238,3.486932e-04,8.101378e-04,33,422,64,2
490,1.25459468416893784355241759900097344957069993708347486066302129935903527722645908090697385845371245820533511576519499448,8.393536e-04,1.188047e-03,32,426,64,0
492,1.25562098769394455573438014882391173345753494193675861442470791125072913721821946202698033912689768165111817521152458056,1.869500e-04,1.026304e-03,33,426,64,2
494,1.25561996247567824393858988846946976027968477063126417683680778154263380446305946788616105478060452444522141908451551338,1.859247e-04,1.025218e-06,34,426,68,0
496,1.25538143639489812065165457467464754713665301752224004009055303755858500757067214238676497802751341358793732116032699611,5.260133e-05,2.385261e-04,33,430,64,2
498,1.25580798642978664688511399706781504104673903267196213827064081253806020147271680899742022586370525573534757050539991748,3.739487e-04,4.265500e-04,34,430,68,0
500,1.25508127764782203517413426011087806322862479442709156084931655597193017291818019586075681142868696244175483247285045319,3.527601e-04,7.267088e-04,33,434,64,2
502,1.25579239837196318882995184033793631505040298135033240031052691197859387995196288238768343716576844902803398097204830062,3.583606e-04,7.111207e-04,34,434,68,0
504,1.25473171666213943525904279233283428154885701847786706334881599757646392667879463136214750048747646179088559499412627971,7.023211e-04,1.060682e-03,33,438,64,2
506,1.25566164018593530338643003966055342229078566529521070353024168727848075000404516372505012456601153861980068933156709725,2.276025e-04,9.299235e-04,34,438,68,0
508,1.25549993739371864732956959997629497044867712438437990159678915928294622017459498208095555500249734504943605636846541073,6.589967e-05,1.617028e-04,35,438,68,2
510,1.25545045029555146385705320110162275465558427853599395907988878584730092122415511266540239923118134266248428115777660524,1.641257e-05,4.948710e-05,34,442,68,0
512,1.25576915013018177551188381182855096239334392307423314628683414298856754288363982505524204758187722576018804408715266980,3.351124e-04,3.186998e-04,35,442,68,2
514,1.25517754686706117375349929673549479432067590988798643653574300715437670584721100576684201770182414324643393474961712513,2.564909e-04,5.916033e-04,34,446,68,0
516,1.25579345072602833308943195330125153307654468418466812562444543131269725890436077025852917644718619508159135408940408965,3.594130e-04,6.159039e-04,35,446,68,2
518,1.25485475964833611961315633230134425797932540264324926530996821445615567466279352217467939200142546288297924083802391615,5.792781e-04,9.386911e-04,34,450,68,0
520,1.25569332939987291898485813349767944068328792057075538678548238953785062719451292274171319892271818298711892613118814522,2.592917e-04,8.385698e-04,35,450,68,2
522,1.25533312222194301994606553670193695138155466839230075983146772236569637709391119759673267249248526528000007281429017651,1.009155e-04,3.602072e-04,36,450,72,0
