m,deg_Pm,Pm_irreducible,n_factors,M_Pm,deg_smallest_factor,M_smallest_factor,factor_in_database
5,6,1,1,1.55603019132268226053042892660,6,1.55603019132268226053042892660,False
7,8,1,1,1.00000000000000000000000000000,0,100.000000000000000000000000000,False
9,10,1,1,1.35098033771623731021140357306,10,1.35098033771623731021140357306,False
11,12,1,1,1.25104661720377119218657528220,12,1.25104661720377119218657528220,True
13,14,1,1,1.26729644252306869273407740760,14,1.26729644252306869273407740760,True
15,16,1,1,1.31199949275385065348576695550,16,1.31199949275385065348576695550,False
17,18,1,1,1.21972085904031184416960676041,18,1.21972085904031184416960676041,True
19,20,1,1,1.30251110692116448615498216274,20,1.30251110692116448615498216274,False
21,22,0,2,1.18836814750822358814296095863,18,1.18836814750822358814296095863,True
23,24,1,1,1.28222840831380742529332926707,24,1.28222840831380742529332926707,True
25,26,1,1,1.24949933319287653678543511147,26,1.24949933319287653678543511147,True
27,28,0,2,1.26162239037185925958160452064,24,1.26162239037185925958160452064,True
29,30,1,1,1.27649697588399066415311940166,30,1.27649697588399066415311940166,True
31,32,1,1,1.24294011519864720623268828334,32,1.24294011519864720623268828334,True
33,34,1,1,1.27706797125178052636863765614,34,1.27706797125178052636863765614,True
35,36,1,1,1.22649330147307608182302689151,36,1.22649330147307608182302689151,True
37,38,1,1,1.27011203841185809187841330200,38,1.27011203841185809187841330200,True
39,40,1,1,1.24441450198264220918258807159,40,1.24441450198264220918258807159,True
41,42,1,1,1.26061671297760882439059547484,42,1.26061671297760882439059547484,True
43,44,1,1,1.26580840436324791613060614136,44,1.26580840436324791613060614136,True
45,46,0,2,1.25044667624394103050296001812,42,1.25044667624394103050296001812,True
47,48,1,1,1.26835996180141613558850564743,48,1.26835996180141613558850564743,True
49,50,1,1,1.24037907471676588927090352756,50,1.24037907471676588927090352756,True
51,52,0,2,1.26538913191873608050243259905,48,1.26538913191873608050243259905,True
53,54,0,2,1.23074300907574426138294260905,46,1.23074300907574426138294260905,True
55,56,1,1,1.26006659574993640697388553641,56,1.26006659574993640697388553641,True
57,58,1,1,1.26072259958783494952507409274,58,1.26072259958783494952507409274,True
59,60,1,1,1.25369807365625269640790071052,60,1.25369807365625269640790071052,True
61,62,1,1,1.26406269144068559510029515634,62,1.26406269144068559510029515634,True
63,64,1,1,1.24691880840258235865623530916,64,1.24691880840258235865623530916,True
65,66,1,1,1.26287184442367963488735570697,66,1.26287184442367963488735570697,True
67,68,0,2,1.24006185903679031095076404060,60,1.24006185903679031095076404060,True
69,70,0,2,1.25962571616716633334932788514,66,1.25962571616716633334932788514,True
